CourseId,Course Name,Resort Name,Ranking,Designers,Location,Type Course,Year Opened
,East,The Fall Line,1,Geoff Ogilvy; Mike Cocking & Ashley Mead,Mauk; GA,Private,
,Broomsedge Golf Club,Broomsedge Golf Club,2,Mike Koprowski; Kyle Franz,Rembert; SC,Private,
,Darmor Club,Darmor Club,3,Doug Wright; Hal Sutton,Columbus; TX,Private,
00a97bb6-7ed2-455a-afe5-9f97708555e7,Scarecrow,Gamble Sands,1,David McLay Kidd,Brewster; WA,Public,
2bb18a70-e5ba-4b0f-8e25-02b0da2d1ad8,The Keep,McLemore,2,Bill Bergin; Rees Jones,Rising Fawn; GA,Public,
df78af0b-e74f-4fc7-ae78-6a5f38798d48,Roost,Cabot Citrus Farms,3,Kyle Franz; Ran Morrissett; Mike Nuzzo; Rod Whitman,Brooksville; FL,Public,
