CourseId,FacilityId,CourseName,City,State,Ranking
3177f804-5a23-4789-8f05-04e6da732a1c,82753178-06A7-4D34-B483-E3BA5A15253A,Sea Pines Resort (Heron Point),Hilton Head Island,SC,7
4b1ec003-59ea-432f-ad77-0413ed32bb16,7E66BC5E-3FA2-47EB-B158-D015BD281C2D,TPC Myrtle Beach,Murrells Inlet,SC,8
84813add-3285-4aac-a331-eb7e87aa00b9,A50026C8-99CE-468D-BF14-811A620D0EB3,Tidewater,North Myrtle Beach,SC,9
bdc16fb8-aa71-40d1-a16a-c987636217ea,5F639001-D16A-499F-B89F-4A20EA732B55,Kiawah Island Golf Resort (Osprey Point),Kiawah Island,SC,10
7339c8d7-44f5-49bc-be34-415feafac25e,7F0B27ED-AF74-4049-91CD-D753E60FC1D8,Prestwick,Myrtle Beach,SC,11
42d3b438-21f0-4c0c-9e91-966af62f6205,B1E567CB-E994-4D9F-BD1A-73EF5978D039,Legends Golf Resort (Moorland),Myrtle Beach,SC,12
f08d69c9-f935-4578-85cc-4828f650093e,B1E567CB-E994-4D9F-BD1A-73EF5978D039,Legends Golf Resort (Heathlands),Myrtle Beach,SC,13
6f75723e-7a44-4236-8c24-a91546d9f3d5,5F639001-D16A-499F-B89F-4A20EA732B55,Kiawah Island Golf Resort (Cougar Point),Kiawah Island,SC,14
dc12b631-341b-4d6e-85f1-f24cdc14a322,22DE6F62-5A8A-4D5F-A05F-C2E42A2B0D9C,Barefoot Resort & Golf (Dye),North Myrtle Beach,SC,15
867f72d0-3d08-4247-9670-3af50b786b61,A6453E4D-E13E-466D-A839-B413181313D2,Heritage Club,Pawleys Island,SC,16
411385f1-9d2a-4f80-8565-10e4419a8ada,11EA61B9-B674-4E0D-825F-D7D1F7A96A8E,Palmetto Dunes (Robert Trent Jones),Hilton Head Island,SC,17
bcab7e24-af39-4662-83b0-c64393ae9add,F62A6EE9-3E5E-4C2A-9D82-350B8B76A410,Myrtle Beach National (King's North),Myrtle Beach,SC,18
d155762b-de66-46e1-a8e7-8cd7e11a0962,5F639001-D16A-499F-B89F-4A20EA732B55,Kiawah Island Golf Resort (Turtle Point),Kiawah Island,SC,19
a0e16614-ef26-4275-b6f4-264c7a83fdc1,236CD528-2052-4E9D-B203-F7543E53F3D9,Aiken Golf Club,Aiken,SC,20
6d198d00-7471-4d99-8092-0c9a0089d1f1,BCB98B1B-983A-4D7A-AB1D-968BC5589519,Hart Ranch,Rapid City,SD,1
755cb9a0-6a3e-482b-acac-3eaa45045630,9A4663E9-6A30-4C19-8495-D4CBAB99FBDB,Golf Club at Red Rock,Rapid City,SD,2
13d8db80-0d69-4ce6-be81-03e8c79e80af,E3C8170B-6616-461A-AF87-6ABE79267F83,Prairie Green GC,Sioux Falls,SD,3
a0059161-ecb5-404a-8143-f767d8d55306,2A06644B-0298-42F8-9772-9F733963C189,Willow Run,Sioux Falls,SD,4
f981bd98-54a8-4d89-bff8-006fa6b0c3e0,280F5268-9E13-46E4-A305-3026FB0A06B3,Meadowbrook,Rapid City,SD,5
92d05b47-c749-4bfd-a907-15f655b8c41c,AEC7D6C4-9706-4A71-BC60-8FAAD474626E,Sweetens Cove,South Pittsburg,TN,1
5ecbda8b-92e1-48b2-8c3c-1aa68dae6926,F423CBD5-04C8-4948-A088-6093541CB690,Course at Sewanee,Sewanee,TN,2
bc57b5de-c8f2-4551-b6ba-991b6b6a95c1,604FBEC0-37E1-40EC-9AAD-418C50E53354,Stonehenge,Fairfield Glade,TN,3
fcd7ee2c-4dde-419e-9816-ee51fb7da3eb,0922D670-1116-4F7C-A3AA-855C4B527E4A,Gaylord Springs Golf Links,Nashville,TN,4
